iter	Passed	Remaining
0	10	21244
1	20	20826
2	30	20616
3	41	20542
4	51	20589
5	62	20611
6	72	20590
7	82	20597
8	93	20588
9	103	20643
10	114	20627
11	124	20561
12	133	20431
13	144	20443
14	154	20404
15	164	20367
16	173	20266
17	183	20176
18	193	20147
19	203	20174
20	214	20170
21	223	20106
22	233	20034
23	242	19971
24	251	19905
25	261	19861
26	271	19833
27	282	19868
28	292	19906
29	303	19959
30	313	19926
31	323	19877
32	332	19824
33	341	19770
34	351	19724
35	360	19691
36	370	19644
37	379	19606
38	388	19557
39	398	19543
40	408	19522
41	418	19511
42	429	19539
43	439	19525
44	448	19499
45	458	19465
46	467	19444
47	477	19410
48	486	19371
49	497	19396
50	508	19418
51	517	19404
52	527	19369
53	536	19338
54	545	19303
55	555	19273
56	564	19241
57	574	19224
58	584	19215
59	594	19214
60	604	19209
61	613	19179
62	623	19170
63	632	19146
64	642	19124
65	651	19101
66	661	19079
67	670	19049
68	679	19027
69	689	19002
70	699	18994
71	708	18972
72	717	18949
73	727	18929
74	736	18903
75	746	18888
76	755	18867
77	764	18848
78	774	18823
79	783	18803
80	793	18788
81	802	18779
82	812	18759
83	821	18740
84	830	18718
85	840	18702
86	849	18680
87	858	18661
88	868	18643
89	877	18623
90	886	18604
91	896	18589
92	906	18591
93	916	18575
94	925	18558
95	934	18541
96	944	18524
97	953	18507
98	962	18486
99	972	18468
100	981	18455
101	990	18437
102	1000	18419
103	1009	18407
104	1019	18394
105	1028	18379
106	1037	18362
107	1047	18345
108	1056	18328
109	1065	18313
110	1075	18302
111	1084	18282
112	1093	18267
113	1103	18263
114	1113	18254
115	1123	18241
116	1132	18225
117	1141	18209
118	1151	18194
119	1160	18183
120	1171	18185
121	1180	18175
122	1190	18163
123	1199	18147
124	1208	18127
125	1218	18118
126	1227	18104
127	1237	18091
128	1246	18078
129	1255	18064
130	1265	18060
131	1275	18046
132	1284	18032
133	1294	18026
134	1304	18018
135	1314	18016
136	1324	18014
137	1334	18008
138	1344	17998
139	1353	17985
140	1363	17982
141	1373	17976
142	1383	17969
143	1393	17958
144	1403	17951
145	1413	17955
146	1423	17940
147	1432	17922
148	1442	17913
149	1451	17904
150	1461	17895
151	1470	17881
152	1480	17869
153	1489	17854
154	1499	17847
155	1509	17838
156	1518	17824
157	1528	17819
158	1538	17808
159	1548	17802
160	1558	17800
161	1568	17796
162	1578	17788
163	1588	17780
164	1598	17774
165	1608	17767
166	1619	17770
167	1629	17765
168	1639	17759
169	1649	17751
170	1658	17739
171	1667	17725
172	1677	17714
173	1686	17702
174	1696	17690
175	1706	17687
176	1716	17675
177	1725	17663
178	1734	17647
179	1744	17634
180	1753	17623
181	1762	17610
182	1772	17600
183	1782	17587
184	1791	17573
185	1800	17559
186	1809	17545
187	1819	17535
188	1828	17525
189	1837	17508
190	1847	17494
191	1856	17485
192	1866	17475
193	1876	17466
194	1886	17457
195	1895	17445
196	1905	17439
197	1915	17431
198	1924	17417
199	1934	17407
200	1943	17397
201	1953	17387
202	1962	17373
203	1972	17362
204	1981	17352
205	1990	17338
206	2000	17326
207	2009	17316
208	2019	17303
209	2028	17290
210	2037	17278
211	2047	17267
212	2056	17254
213	2065	17241
